Код в 1С, ,Толщина,Наименование,Размер листа,Упаковка,,,Цена,,,,Просчет,,,,Объем,,,,
,кг/м³,мм,-,мм,плит,м² ,м³,руб/упак,руб/лист,руб/м²,,Кв.м.,Кол-во уп,Сумма,,Листов,Итого м³,,,
НФ-00000424,21 кг/м3,20,"Технониколь XPS Carbon ECO 20мм / 580 х 1180 / 0,68 м2 ( 20 ПЛИТ / 13,6 м2 / 0,29 м3)",580х1180,20,"13,6","0,29",2 500 ₽,125 ₽,184 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000425,21 кг/м3,30,"Технониколь XPS Carbon ECO 30мм / 580 х 1180 / 0,68 м2 ( 13 ПЛИТ / 8,84 м2 / 0,27 м3)",580х1180,13,"8,84","0,27",2 275 ₽,175 ₽,257 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000426,21 кг/м3,40,"Технониколь XPS Carbon ECO 40мм / 580 х 1180 / 0,68 м2 ( 10 ПЛИТ / 6,8 м2 / 0,27 м3)",580х1180,10,"6,8","0,27",2 350 ₽,235 ₽,346 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000427,21 кг/м3,50,"Технониколь XPS Carbon ECO 50мм / 580 х 1180 / 0,68 м2 ( 8 ПЛИТ / 5,44 м2 / 0,27 м3)",580х1180,8,"5,44","0,27",2 240 ₽,280 ₽,412 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000428,21 кг/м3,100,"Технониколь XPS Carbon ECO 100мм / 580 х 1180 / 0,68 м2 ( 4 ПЛИТЫ / 2,72 м2 / 0,27 м3)",580х1180,4,"2,72","0,27",2 380 ₽,595 ₽,875 ₽,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,#DIV/0!
,LOGICPIR,,,,,,,,,,,,,,,,,,,
НФ-00000319,,30,"LOGICPIR Ф/Ф L Баня 30мм / 590х1190 / 0,7 м2 ( 8 ПЛИТ / 5,61 м2 / 0,17 м3)",590х1190,8,"5,61","0,17",4 860 ₽,608 ₽,866 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000321,,50,"LOGICPIR Ф/Ф L Баня 50мм / 590х1190 / 0,7 м2 ( 5 ПЛИТ / 3,511 м2 / 0,18 м3)",590х1190,5,"3,511","0,18",4 250 ₽,850 ₽,1 210 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000318,,30,"LOGICPIR Ф/Ф L Балкон 30мм / 590х1190 / 0,7 м2 ( 8 ПЛИТ / 5,61 м2 / 0,17 м3)",590х1190,8,"5,61","0,17",4 715 ₽,589 ₽,840 ₽,,0,"0,00",0 ₽,,0,0,,,0
,Минвата,,,,,,,,,,,,,,,,,,,
НФ-00000308,35,50,"Технониколь Роклайт 50мм/ 1200х600 / 0,72м2 (8 ПЛИТ / 5,76 м2 / 0,288 м3) 35 плотность",600х1200,8,"5,76","0,288",990 ₽,124 ₽,172 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000310,35,100,"Технониколь Роклайт 100мм/ 1200х600 / 0,72м2 (4 ПЛИТЫ / 2,88 м2 / 0,288 м3) 35 плотность",600х1200,4,"2,88","0,288",990 ₽,248 ₽,344 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000309,35,100,"Технониколь Роклайт 100мм/ 1200х600 / 0,72м2 (6 ПЛИТ / 4,32 м2 / 0,432 м3) 35 плотность",600х1200,6,"4,32","0,432",1 380 ₽,230 ₽,319 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000429,35,50,"IZOVOL Л-35 50мм/ 1200х600 / 0,72м2 (8 ПЛИТ / 5,76 м2 / 0,288 м3) 35 плотность",600х1200,8,"5,76","0,288",1 100 ₽,138 ₽,191 ₽,,0,"0,00",0 ₽,,0,0,,,0
,35,50,"Роквул Лайт Баттс Скандик 50 мм, ROCKWOOL 800*600 (12 ПЛИТ/ 5,76 м2 / 0,288 м3) 35 плотность",600х800,12,"5,76","0,288",,0 ₽,0 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000311,45,50,"Технониколь Техноблок Стандарт 50 мм/ 1200х600 / 0,72м2 (8 ПЛИТ / 5,76 м2 / 0,288 м3) 45 плотность",600х1200,8,"5,76","0,288",1 450 ₽,181 ₽,252 ₽,,0,"0,00",0 ₽,,0,0,,,0
